"","area","CT"
"1",0,1.01
"2",1,1.02
"3",2,2.01
"4",3,2.04
"5",4,3.01
"6",5,3.02
"7",6,4.01
"8",7,5
"9",8,6.01
"10",9,6.02
"11",10,7.01
"12",11,7.02
"13",12,8.01
"14",13,8.02
"15",14,9
"16",15,10.02
"17",16,11
"18",17,13.01
"19",18,13.03
"20",19,13.04
"21",20,14.02
"22",21,15.01
"23",22,15.02
"24",23,16.01
"25",24,16.05
"26",25,17.01
"27",26,17.02
"28",27,18.02
"29",28,19
"30",29,20
"31",30,21
"32",31,23
"33",32,24
"34",33,25
"35",34,26
"36",35,27.01
"37",36,27.02
"38",37,28
"39",38,29
"40",39,30
"41",40,31.01
"42",41,31.02
"43",42,32
"44",43,33.01
"45",44,33.02
"46",45,34.02
"47",46,35.01
"48",47,35.02
"49",48,36.01
"50",49,36.02
"51",50,37.01
"52",51,37.02
"53",52,38
"54",53,39.01
"55",54,39.02
"56",55,40.01
"57",56,40.02
"58",57,41.01
"59",58,41.02
"60",59,42
"61",60,43.02
"62",61,44
"63",62,45.01
"64",63,45.02
"65",64,46
"66",65,47.01
"67",66,48
"68",67,49.01
"69",68,49.02
"70",69,50.02
"71",70,50.03
"72",71,50.04
"73",72,51.01
"74",73,51.02
"75",74,52.01
"76",75,52.02
"77",76,53.01
"78",77,53.02
"79",78,54.01
"80",79,54.02
"81",80,55.01
"82",81,55.02
"83",82,56.02
"84",83,57.02
"85",84,59.06
"86",85,59.07
"87",86,59.09
"88",87,59.1
"89",88,59.11
"90",89,60.02
"91",90,61
"92",91,62
"93",92,64
"94",93,65
"95",94,67.01
"96",95,68
"97",96,69.02
"98",97,100.01
"99",98,100.02
"100",99,101.03
"101",100,101.04
"102",101,101.06
"103",102,103
"104",103,104
"105",104,110.02
"106",105,110.03
"107",106,110.04
"108",107,111.02
"109",108,111.05
"110",109,111.07
"111",110,112
"112",111,113
"113",112,114.01
"114",113,114.02
"115",114,115
"116",115,116
"117",116,117
"118",117,118
"119",118,120
"120",119,121
"121",120,122
"122",121,130.03
"123",122,131
"124",123,132
"125",124,133.01
"126",125,133.02
"127",126,134
"128",127,135
"129",128,140.02
"130",129,140.03
"131",130,140.04
"132",131,141.01
"133",132,142.01
"134",133,142.02
"135",134,142.03
"136",135,143.01
"137",136,143.02
"138",137,143.03
"139",138,144.04
"140",139,144.06
"141",140,145.01
"142",141,145.02
"143",142,146
"144",143,147.01
"145",144,147.09
"146",145,148
"147",146,149.02
"148",147,149.05
"149",148,149.08
"150",149,149.09
"151",150,150
"152",151,151.03
"153",152,151.05
"154",153,151.07
"155",154,151.08
"156",155,160.01
"157",156,160.02
"158",157,160.03
"159",158,160.04
"160",159,161.02
"161",160,161.03
"162",161,161.05
"163",162,161.06
"164",163,161.08
"165",164,161.09
"166",165,162.01
"167",166,162.02
"168",167,162.03
"169",168,162.04
"170",169,163.01
"171",170,163.04
"172",171,163.05
"173",172,163.06
"174",173,163.07
"175",174,163.08
"176",175,170.03
"177",176,170.04
"178",177,170.05
"179",178,170.07
"180",179,180.01
"181",180,180.04
"182",181,181.03
"183",182,181.05
"184",183,181.07
"185",184,181.08
"186",185,181.09
"187",186,181.11
"188",187,181.12
"189",188,181.13
"190",189,181.14
"191",190,181.16
"192",191,182.01
"193",192,182.04
"194",193,182.05
"195",194,183.01
"196",195,183.03
"197",196,183.05
"198",197,183.06
"199",198,183.07
"200",199,184.02
"201",200,184.06
"202",201,184.07
"203",202,184.08
"204",203,184.09
"205",204,184.1
"206",205,184.11
"207",206,184.12
"208",207,184.13
"209",208,184.14
"210",209,184.15
"211",210,184.16
"212",211,185.05
"213",212,185.07
"214",213,185.08
"215",214,185.09
"216",215,185.1
"217",216,185.11
"218",217,185.12
"219",218,185.15
"220",219,185.16
"221",220,185.17
"222",221,185.18
"223",222,185.19
"224",223,185.2
"225",224,185.21
"226",225,186.01
"227",226,186.02
"228",227,186.05
"229",228,186.06
"230",229,186.07
"231",230,186.08
"232",231,187.03
"233",232,187.04
"234",233,187.06
"235",234,187.11
"236",235,187.12
"237",236,187.13
"238",237,187.14
"239",238,187.15
"240",239,188.01
"241",240,188.04
"242",241,188.05
"243",242,188.07
"244",243,188.08
"245",244,189.03
"246",245,189.05
"247",246,189.06
"248",247,189.08
"249",248,189.09
"250",249,189.1
"251",250,190.03
"252",251,190.04
"253",252,190.05
"254",253,191.03
"255",254,191.04
"256",255,191.05
"257",256,192
"258",257,200
"259",258,201
"260",259,202
"261",260,203
"262",261,204.01
"263",262,204.02
"264",263,205.02
"265",264,207
"266",265,208
"267",266,209
"268",267,210
"269",268,220
"270",269,221.01
"271",270,221.03
"272",271,221.04
"273",272,222.01
"274",273,222.02
"275",274,223.01
"276",275,223.02
"277",276,224.02
"278",277,225.01
"279",278,225.02
"280",279,226.02
"281",280,226.04
"282",281,228.02
"283",282,228.04
"284",283,229
"285",284,230.01
"286",285,230.02
"287",286,231
"288",287,232
"289",288,233
"290",289,234
"291",290,235.02
"292",291,235.03
"293",292,236
"294",293,237
"295",294,238.01
"296",295,238.02
"297",296,239.02
"298",297,240.01
"299",298,240.02
"300",299,241
"301",300,242
"302",301,243.01
"303",302,243.02
"304",303,250.02
"305",304,251.01
"306",305,260.04
"307",306,260.05
"308",307,260.06
"309",308,260.07
"310",309,260.08
"311",310,281.01
"312",311,281.02
"313",312,282.01
"314",313,282.02
"315",314,283
"316",315,284.01
"317",316,284.02
"318",317,285.01
"319",318,285.02
"320",319,286.02
"321",320,287.01
"322",321,287.06
"323",322,287.09
"324",323,287.11
"325",324,290.02
"326",325,290.04
"327",326,290.05
"328",327,291.01
"329",328,291.02
"330",329,292.01
"331",330,292.03
"332",331,292.04
"333",332,400.04
"334",333,400.05
"335",334,400.06
"336",335,401.01
"337",336,401.02
"338",337,402.02
"339",338,402.03
"340",339,403.01
"341",340,403.04
"342",341,403.05
"343",342,404.01
"344",343,404.02
"345",344,410.02
"346",345,410.04
"347",346,410.05
"348",347,410.06
"349",348,501.01
"350",349,501.02
"351",350,501.03
"352",351,502.01
"353",352,502.02
"354",353,502.03
"355",354,502.06
"356",355,502.07
"357",356,503.01
"358",357,503.03
"359",358,503.07
"360",359,503.09
"361",360,504.03
"362",361,504.05
"363",362,504.08
"364",363,504.09
"365",364,504.1
"366",365,505.01
"367",366,506.01
"368",367,506.02
