"outliersremove","outliersmerge"
"16.06",16.05
"59.11",59.06
"59.07",59.1
"69.02",69.01
"102.01",101.06
"111.04",111.05
"111.06",111.07
"141.02",141.01
"149.06",149.07
"161.07",161.09
"180.01",180.04
"181.15",181.16
"182.02",182.04
"183.09",182.06
"183.08",183.05
"184.14",184.12
"187.07",187.14
"260.11",250.01
"251.02",251.01
"260.1",260.12
"280.01",280.02
"287.12",287.09
"287.1",287.11
"290.06",290.07
"400.06",400.05
"403.06",403.07
"500.01",500.02
"504.14",504.05
"504.13",504.09
"505.03",505.01
